GAME_DATE,DAY,START_TIME_ET,GAME,TYPE,LIST_DATE,LIST_DAYS_REMAIN,ORDER_NO,SALE_DATE,SALE_DAYS_REMAIN,QTY_AVAIL,QTY_SOLD,SALE_UNIT_PRICE,SALE_EXT_AMT,STUBHUB_FEES,NET_PAYOUT,UNIT_COST,EXT_COST,MARGIN,MARGIN_PCT,M2_MAY,M3_JUN,M4_JUL,M5_AUG,M6_SEP,M7_SCHOOL_OUT,DOW,D1_TUE,D2_WED,D3_THUR,D4_FRI,D5_SAT,D6_SUN,S1_OPENER,S2_MOTHERS_DAY,S3_INDEPENDENCE_DAY,FULL_DATE,DAY_NIGHT,START_TIME,T1_DAY_1PM,T1_DAY_4PM,BRAVES_CLASS,HOME_TEAM,AWAY_TEAM,O01_NYM,O02_PHL,O03_MIA,O04_STL,O05_MIL,O06_CHC,O07_PIT,O08_CIN,O09_LAD,O10_SDP,O11_SFG,O12_ARI,O13_COL,O14_HOU,O15_LAA,O16_OAK,O17_BOS,OC1_DIVISION,OC2_AL_INTER,OUTCOME,RUNS,RA,INNINGS,POST_RECORD,BRAVES_RANK,R1_BRAVES_GB,WIN,LOSS,SAVE,TIME,ATTENDANCE,CLI,STREAK,E1_BOBBLEHEAD,E2_WS_REPLICA_RING,OPP_RANK,OPP_2022_ATTEND_AVG,OPP_MSA_POP, OPP_POP_PER_ATTEND ,OPP_FORBES_VAL
4/7/22,Thu,8:08 PM,Reds at Braves,PARKING,3/20/22,18,271602197,3/25/22,13,1,1,69.00,69.00,10.35,58.65,18.00,18.00,40.65,226%,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,"Thursday, Apr 7",N,8:08 PM,0,0,1_Diamond,ATL,CIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,L,3,6,0,0-1,4,-1,Mahle,Fried,Santillan,3:01,40545,0.96,-1,0,0,4,17447,2259935, 130 ,1.19
4/7/22,Thu,8:08 PM,Reds at Braves,SEATS,3/20/22,18,271881539,4/4/22,3,2,2,65.00,130.00,19.50,110.50,18.00,36.00,74.50,207%,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,"Thursday, Apr 7",N,8:08 PM,0,0,1_Diamond,ATL,CIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,L,3,6,0,0-1,4,-1,Mahle,Fried,Santillan,3:01,40545,0.96,-1,0,0,4,17447,2259935, 130 ,1.19
4/7/22,Thu,8:08 PM,Reds at Braves,SEATS,3/20/22,18,271942973,4/6/22,1,2,2,47.00,94.00,14.10,79.90,18.00,36.00,43.90,122%,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,"Thursday, Apr 7",N,8:08 PM,0,0,1_Diamond,ATL,CIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,L,3,6,0,0-1,4,-1,Mahle,Fried,Santillan,3:01,40545,0.96,-1,0,0,4,17447,2259935, 130 ,1.19
4/8/22,Fri,7:20 PM,Reds at Braves,PARKING,3/20/22,19,271504107,3/21/22,18,1,1,79.00,79.00,11.85,67.15,18.00,18.00,49.15,273%,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,"Friday, Apr 8",N,7:20 PM,0,0,2_Marquee,ATL,CIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,W,7,6,0,44927,3,-1,Morton,Sanmartin,0,3:07,40234,0.92,1,0,0,4,17447,2259935, 130 ,1.19
4/8/22,Fri,7:20 PM,Reds at Braves,SEATS,3/20/22,19,271509271,3/21/22,18,4,4,44.00,176.00,26.40,149.60,18.00,72.00,77.60,108%,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,"Friday, Apr 8",N,7:20 PM,0,0,2_Marquee,ATL,CIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,W,7,6,0,44927,3,-1,Morton,Sanmartin,0,3:07,40234,0.92,1,0,0,4,17447,2259935, 130 ,1.19
4/9/22,Sat,7:20 PM,Reds at Braves,ATTENDED,,,,,,5,0,0.00,0.00,0.00,0.00,18.00,90.00,-90.00,-100%,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,"Saturday, Apr 9",N,7:20 PM,0,0,2_Marquee,ATL,CIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,W,2,1,0,44958,3,-1,Wright,Gutiérrez,Smith,2:50,40310,0.94,2,0,0,4,17447,2259935, 130 ,1.19
4/10/22,Sun,1:35 PM,Reds at Braves,PARKING,3/20/22,21,272014716,4/7/22,3,1,1,34.00,34.00,5.10,28.90,18.00,18.00,10.90,61%,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Sunday, Apr 10",D,1:35 PM,1,0,4_Select,ATL,CIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,L,3,6,0,44959,3,-1,Greene,Anderson,Warren,3:14,38233,0.94,-1,0,0,4,17447,2259935, 130 ,1.19
4/10/22,Sun,1:35 PM,Reds at Braves,SEATS,3/20/22,21,271619589,3/25/22,16,4,4,30.00,120.00,18.00,102.00,18.00,72.00,30.00,42%,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Sunday, Apr 10",D,1:35 PM,1,0,4_Select,ATL,CIN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,L,3,6,0,44959,3,-1,Greene,Anderson,Warren,3:14,38233,0.94,-1,0,0,4,17447,2259935, 130 ,1.19
4/11/22,Mon,7:20 PM,Nationals at Braves,PARKING,3/20/22,22,271736540,3/30/22,12,1,1,49.00,49.00,7.35,41.65,18.00,18.00,23.65,131%,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Monday, Apr 11",N,7:20 PM,0,0,4_Select,ATL,WSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,L,2,11,0,44960,3,-1.5,Rogers,Ynoa,0,3:33,42263,0.96,-2,0,0,5,25017,6356434, 254 ,2
4/11/22,Mon,7:20 PM,Nationals at Braves,SEATS,3/20/22,22,271521323,3/21/22,21,2,2,31.00,62.00,9.30,52.70,18.00,36.00,16.70,46%,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Monday, Apr 11",N,7:20 PM,0,0,4_Select,ATL,WSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,L,2,11,0,44960,3,-1.5,Rogers,Ynoa,0,3:33,42263,0.96,-2,0,0,5,25017,6356434, 254 ,2
